classical_mean,quantum_mean,mean_diff,ci_low,ci_high,cohens_d,nb_t_stat,nb_p_raw,wilcoxon_p_raw,modal_reps,modal_entanglement,arch_agreement_rate,classical_balanced_mean,quantum_balanced_mean,balanced_mean_diff,dataset,encoding,seed,nb_p_holm,significant
1.0,0.9733333333333334,-0.02666666666666666,-0.056916324259833284,0.003582990926499958,-0.9797958971132713,-1.819435304589368,0.08134323245281982,0.00035298486921181806,1,none,1.0,1.0,0.9732976190476191,-0.026702380952380866,digits_4v9,z,2024,1.0,False
1.0,0.9706666666666667,-0.029333333333333326,-0.06369033992602023,0.005023673259353576,-0.948928404190258,-1.7621158092192013,0.09078375136612449,0.00041408673468087184,1,none,1.0,1.0,0.9707380952380953,-0.02926190476190471,digits_4v9,z,99,1.0,False
1.0,0.9,-0.09999999999999998,-0.15239394386292623,-0.047606056137073714,-2.1213203435596424,-3.9391929857916765,0.0006143368855877629,1.030566958496509e-05,1,linear,0.68,1.0,0.89975,-0.10024999999999995,digits_4v9,zz,42,0.020273117224396175,True
1.0,0.8853333333333333,-0.11466666666666664,-0.16376997716776803,-0.06556335616556525,-2.595456546911741,-4.819641812026191,6.569485911667172e-05,1.0788190975099249e-05,1,linear,0.6,1.0,0.8849642857142856,-0.11503571428571435,digits_4v9,zz,7,0.0026934892237835406,True
1.0,0.884,-0.11599999999999998,-0.18027607375248395,-0.051723926247516,-2.0058386536107378,-3.7247488711084835,0.0010530590993671485,2.4348450660955776e-05,1,linear,0.64,1.0,0.8839166666666668,-0.1160833333333332,digits_4v9,zz,123,0.0326448320803816,True
1.0,0.8826666666666667,-0.1173333333333333,-0.18249308993276925,-0.052173576733897345,-2.001378835048305,-3.7164671959468913,0.0010751073871444472,1.6625284102612557e-05,1,linear,0.76,1.0,0.8826309523809523,-0.11736904761904765,digits_4v9,zz,2024,0.0326448320803816,True
1.0,0.888,-0.11199999999999997,-0.16202638584405185,-0.06197361415594809,-2.4883200650010147,-4.620694359631072,0.00010894750041812173,1.5365881467992394e-05,1,linear,0.64,1.0,0.8879880952380952,-0.11201190476190481,digits_4v9,zz,99,0.004140005015888626,True
1.0,0.7893333333333333,-0.21066666666666664,-0.27184281315057524,-0.14949052018275805,-3.8273753351337527,-7.107257571881694,2.397953831057009e-07,1.0949638219956128e-05,1,linear,0.96,1.0,0.7886071428571428,-0.21139285714285716,digits_4v9,pauli,42,1.4147927603236354e-05,True
1.0,0.7786666666666666,-0.22133333333333335,-0.29836609242001866,-0.14430057424664805,-3.1934396901682214,-5.930068632138076,4.04761220806904e-06,1.1092498096777287e-05,1,linear,0.96,1.0,0.7796071428571427,-0.22039285714285728,digits_4v9,pauli,7,0.0002226186714437972,True
1.0,0.7853333333333334,-0.21466666666666664,-0.291103188003374,-0.1382301453299593,-3.1214116437856823,-5.796315907825696,5.633965989515488e-06,1.1572512703616716e-05,1,linear,0.92,1.0,0.7857261904761904,-0.2142738095238096,digits_4v9,pauli,123,0.00029860019744432087,True
1.0,0.7893333333333333,-0.21066666666666667,-0.28905356342207583,-0.1322797699112575,-2.9870307901286295,-5.546776927182022,1.0486469606441062e-05,1.1051528502253113e-05,1,linear,1.0,1.0,0.7898333333333334,-0.2101666666666666,digits_4v9,pauli,2024,0.000513837010715612,True
1.0,0.7879999999999999,-0.212,-0.29122869834659804,-0.13277130165340192,-2.973998104073381,-5.522575836738175,1.1140817770094458e-05,1.1519540664091129e-05,1,linear,0.92,1.0,0.7880595238095238,-0.21194047619047618,digits_4v9,pauli,99,0.000534759252964534,True
